crate	cave_loc	upstream_loc	loc_ratio	honest_ratio	fill_ratio	crate_dir
cave-acme	721	51341	0.014	0.0	0.0	crates/security/cave-acme
cave-admission	1800	2167512	0.0008	0.8	1.0	crates/security/cave-admission
cave-ai-obs	1457	502810	0.0029	0.5	1.0	crates/observability/cave-ai-obs
cave-alerts	4463	49411	0.0903	0.7778	1.0	crates/observability/cave-alerts
cave-apiserver	28171	2167512	0.013	0.9804	1.0	crates/compute/cave-apiserver
cave-artifacts	17274	71498	0.2416	0.4	1.0	crates/registry/cave-artifacts
cave-auth	39779	1186596	0.0335	0.9773	1.0	crates/security/cave-auth
cave-backup	3177	131757	0.0241	0.56	1.0	crates/data/cave-backup
cave-bench	4275	3195	1.338	0.7273	1.0	crates/security/cave-bench
cave-cache	17205	358410	0.048	0.8947	1.0	crates/data/cave-cache
cave-cdc	1998	26560	0.0752	0.7647	1.0	crates/data/cave-cdc
cave-certs	2561	145521	0.0176	0.72	1.0	crates/security/cave-certs
cave-changelog	475	7871	0.0603	0.0	0.0	crates/ops/cave-changelog
cave-chaos	2344	127747	0.0183	0.7222	1.0	crates/orchestration/cave-chaos
cave-chat	1362	388547	0.0035	0.45	1.0	crates/ops/cave-chat
cave-cli	20810	0	N/A	0.0	0.0	crates/ops/cave-cli
cave-cloud-controller-manager	17766	2167512	0.0082	0.9565	1.0	crates/compute/cave-cloud-controller-manager
cave-cluster	5134	247558	0.0207	0.9022	1.0	crates/compute/cave-cluster
cave-compliance	3026	51615	0.0586	0.65	1.0	crates/security/cave-compliance
cave-container-scan	2966	130983	0.0226	0.7308	1.0	crates/security/cave-container-scan
cave-controller-manager	26256	2167512	0.0121	1.0	1.0	crates/compute/cave-controller-manager
cave-core	2062	0	N/A	0.0	0.0	crates/core/cave-core
cave-cost	1973	121640	0.0162	0.5	1.0	crates/ops/cave-cost
cave-cost-alloc	1780	121640	0.0146	0.0	0.0	crates/ops/cave-cost-alloc
cave-cri	17044	186340	0.0915	0.9118	1.0	crates/compute/cave-cri
cave-crm	3509	1324478	0.0026	0.5135	1.0	crates/ops/cave-crm
cave-crossplane	8246	53034	0.1555	0.7	1.0	crates/orchestration/cave-crossplane
cave-dashboard	10341	1173158	0.0088	0.8571	1.0	crates/observability/cave-dashboard
cave-dast	5637	313022	0.018	0.9231	1.0	crates/security/cave-dast
cave-datafusion	4260	827115	0.0052	0.5152	1.0	crates/data/cave-datafusion
cave-db	697	0	N/A	0.0	0.0	crates/data/cave-db
cave-deploy	6609	354986	0.0186	0.6667	1.0	crates/orchestration/cave-deploy
cave-desktop	188	1367246	0.0001	0.0	0.0	crates/ops/cave-desktop
cave-devlake	1245	239590	0.0052	0.6875	1.0	crates/ops/cave-devlake
cave-dns	9823	36346	0.2703	0.7917	1.0	crates/networking/cave-dns
cave-docdb	4910	42947	0.1143	0.9423	1.0	crates/data/cave-docdb
cave-docs	469	633842	0.0007	0.0	0.0	crates/ops/cave-docs
cave-docs-site	2234	0	N/A	0.0	0.0	crates/ops/cave-docs-site
cave-ebpf-common	131	609350	0.0002	0.0	0.0	crates/networking/cave-ebpf-common
cave-erp	5532	432032	0.0128	0.8462	1.0	crates/ops/cave-erp
cave-etcd	26551	123079	0.2157	0.493	1.0	crates/compute/cave-etcd
cave-falco	1908	26681	0.0715	0.7308	1.0	crates/security/cave-falco
cave-flags	4198	343929	0.0122	0.9538	1.0	crates/ops/cave-flags
cave-forensics	5390	477606	0.0113	0.6818	0.9583	crates/security/cave-forensics
cave-gateway	14554	3289	4.4251	0.7333	0.9667	crates/networking/cave-gateway
cave-gitleaks	2701	15691	0.1721	0.9	1.0	crates/security/cave-gitleaks
cave-gitops-config	2247	354986	0.0063	0.4839	1.0	crates/ops/cave-gitops-config
cave-ha	6448	123079	0.0524	0.8704	1.0	crates/compute/cave-ha
cave-hermes	4915	1053440	0.0047	0.9531	0.9531	crates/ai/cave-hermes
cave-iceberg	4049	131289	0.0308	0.7083	1.0	crates/data/cave-iceberg
cave-identity	3639	109076	0.0334	0.72	1.0	crates/security/cave-identity
cave-incidents	1850	65530	0.0282	0.6429	1.0	crates/observability/cave-incidents
cave-infra	5056	308155	0.0164	0.7917	1.0	crates/ops/cave-infra
cave-kamaji	1316	0	N/A	0.8235	1.0	crates/compute/cave-kamaji
cave-karpenter	1887	36215	0.0521	0.8636	1.0	crates/orchestration/cave-karpenter
cave-keda	2487	59963	0.0415	0.8571	1.0	crates/orchestration/cave-keda
cave-kernel	5925	0	N/A	0.0	0.0	crates/core/cave-kernel
cave-knative	4101	65577	0.0625	0.8667	1.0	crates/orchestration/cave-knative
cave-kube-proxy	2208	2167512	0.001	0.9412	1.0	crates/compute/cave-kube-proxy
cave-kubelet	18778	2167512	0.0087	0.9487	1.0	crates/compute/cave-kubelet
cave-kubevirt	3975	394098	0.0101	1.0	1.0	crates/compute/cave-kubevirt
cave-lakehouse	4036	131289	0.0307	0.9348	1.0	crates/data/cave-lakehouse
cave-ledger	865	0	N/A	0.0	0.0	crates/data/cave-ledger
cave-lint	727	850049	0.0009	0.0	0.0	crates/ops/cave-lint
cave-llm-gateway	6427	1675068	0.0038	0.5652	1.0	crates/ai/cave-llm-gateway
cave-llm-tracker	2009	0	N/A	0.6471	1.0	crates/ai/cave-llm-tracker
cave-local-llm	6611	242174	0.0273	0.9677	1.0	crates/ai/cave-local-llm
cave-logs	9016	448646	0.0201	0.875	1.0	crates/observability/cave-logs
cave-mesh	12309	297127	0.0414	0.973	1.0	crates/networking/cave-mesh
cave-metrics	12380	197014	0.0628	0.9	1.0	crates/observability/cave-metrics
cave-net	49559	609350	0.0813	0.9851	1.0	crates/networking/cave-net
cave-oncall	2770	65530	0.0423	0.8889	1.0	crates/observability/cave-oncall
cave-pam	2840	2376041	0.0012	0.6875	1.0	crates/security/cave-pam
cave-permission	1043	14054	0.0742	0.4091	1.0	crates/ops/cave-permission
cave-pii	209	59620	0.0035	0.0	0.0	crates/security/cave-pii
cave-pipelines	4991	113728	0.0439	0.6842	1.0	crates/orchestration/cave-pipelines
cave-pki	668	51341	0.013	0.0	0.0	crates/security/cave-pki
cave-policy	14127	214686	0.0658	0.6154	1.0	crates/security/cave-policy
cave-portal	79152	633842	0.1249	0.8687	1.0	crates/ops/cave-portal
cave-portal-api	5319	633842	0.0084	0.0	0.0	crates/ops/cave-portal-api
cave-portal-web	2336	633842	0.0037	0.0	0.0	crates/ops/cave-portal-web
cave-profiler	185	492454	0.0004	0.0	0.0	crates/observability/cave-profiler
cave-rdbms	6371	1803613	0.0035	0.913	1.0	crates/data/cave-rdbms
cave-rdbms-operator	4305	103355	0.0417	1.0	1.0	crates/data/cave-rdbms-operator
cave-registry	15	31089	0.0005	0.0	0.0	crates/registry/cave-registry
cave-rollouts	2445	119487	0.0205	0.7097	1.0	crates/orchestration/cave-rollouts
cave-runbook	3265	0	N/A	0.0	0.0	crates/ops/cave-runbook
cave-runtime	10272	0	N/A	0.0	0.0	crates/ops/cave-runtime
cave-sandbox	3312	600434	0.0055	0.7458	1.0	crates/security/cave-sandbox
cave-sbom	7574	259429	0.0292	0.7778	1.0	crates/security/cave-sbom
cave-scaffold	1414	633842	0.0022	0.0	0.0	crates/ops/cave-scaffold
cave-scan	5661	850049	0.0067	0.9171	1.0	crates/security/cave-scan
cave-scan-db	1409	13710	0.1028	0.76	1.0	crates/security/cave-scan-db
cave-scheduler	13601	2167512	0.0063	0.7586	1.0	crates/compute/cave-scheduler
cave-search	1089	318797	0.0034	0.788	1.0	crates/data/cave-search
cave-secrets	2494	202725	0.0123	0.4848	1.0	crates/security/cave-secrets
cave-security	7140	26681	0.2676	0.6765	1.0	crates/security/cave-security
cave-sign	4533	32968	0.1375	0.5385	1.0	crates/security/cave-sign
cave-slo	1001	26378	0.0379	0.8333	1.0	crates/observability/cave-slo
cave-status	490	41683	0.0118	0.0	0.0	crates/observability/cave-status
cave-store	9956	253630	0.0393	0.8	1.0	crates/data/cave-store
cave-streams	31900	1625439	0.0196	1.0	1.0	crates/data/cave-streams
cave-techdocs	859	633842	0.0014	0.0	0.0	crates/ops/cave-techdocs
cave-trace	10040	89305	0.1124	0.6316	1.0	crates/observability/cave-trace
cave-tracing	3023	89305	0.0339	0.0	0.0	crates/observability/cave-tracing
cave-tracker	6898	396080	0.0174	0.75	1.0	crates/ops/cave-tracker
cave-upstream	4256	0	N/A	0.0	0.0	crates/ops/cave-upstream
cave-upstream-watchd	7335	0	N/A	0.0	0.0	crates/ops/cave-upstream-watchd
cave-uptime	2334	41683	0.056	0.7	1.0	crates/observability/cave-uptime
cave-vault	17456	394175	0.0443	0.5625	1.0	crates/security/cave-vault
cave-vulns	7088	277211	0.0256	0.9	1.0	crates/security/cave-vulns
cave-workflows	2682	205322	0.0131	0.7143	1.0	crates/orchestration/cave-workflows
cave-llm-gateway	6427	1675068	0.0038	0.5652	1.0	crates/ai/cave-llm-gateway
cave-llm-tracker	2009	0	N/A	0.6471	1.0	crates/ai/cave-llm-tracker
cave-local-llm	6611	242174	0.0273	0.9677	1.0	crates/ai/cave-local-llm
cave-logs	9016	448646	0.0201	0.875	1.0	crates/observability/cave-logs
cave-mesh	12309	297127	0.0414	0.973	1.0	crates/networking/cave-mesh
cave-metrics	12380	197014	0.0628	0.9	1.0	crates/observability/cave-metrics
cave-net	49559	609350	0.0813	0.9851	1.0	crates/networking/cave-net
cave-oncall	2770	65530	0.0423	0.8889	1.0	crates/observability/cave-oncall
